FileName,Language,MissingVersesOrChoruses
1092_1092.xml,eng,"v1,v2"
1092_1092.xml,tel,"v1,v2"
1092_1092.xml,hin,"v1,v2"
1093_1093.xml,eng,"v1,v2"
1093_1093.xml,tel,"v1,v2"
1093_1093.xml,hin,"v1,v2"
1094_1094.xml,eng,"v1,v2"
1094_1094.xml,tel,"v1,v2"
1094_1094.xml,hin,"v1,v2"
1095_1095.xml,eng,"v1,v2"
1095_1095.xml,tel,"v1,v2"
1095_1095.xml,hin,"v1,v2"
1096_1096.xml,eng,"v1,v2"
1096_1096.xml,tel,"v1,v2"
1096_1096.xml,hin,"v1,v2"
1097_1097.xml,eng,"v1,v2"
1097_1097.xml,tel,"v1,v2"
1097_1097.xml,hin,"v1,v2"
1098_1098.xml,eng,"v1,v2"
1098_1098.xml,tel,"v1,v2"
1098_1098.xml,hin,"v1,v2"
1099_1099.xml,eng,"v1,v2"
1099_1099.xml,tel,"v1,v2"
1099_1099.xml,hin,"v1,v2"
109_Yehovaaku paadudi paatan.xml,eng,"v10,v7,v8,v9"
109_Yehovaaku paadudi paatan.xml,tel,"v10,v7,v8,v9"
109_Yehovaaku paadudi paatan.xml,hin,"v10,v8,v9"
10_Yehovaa naa kaapari naaku lemi ledu.xml,eng,v5
10_Yehovaa naa kaapari naaku lemi ledu.xml,tel,v5
1100_1100.xml,eng,"v1,v2"
1100_1100.xml,tel,"v1,v2"
1100_1100.xml,hin,"v1,v2"
1101_1101.xml,eng,"v1,v2"
1101_1101.xml,tel,"v1,v2"
1101_1101.xml,hin,"v1,v2"
1102_1102.xml,eng,"v1,v2"
1102_1102.xml,tel,"v1,v2"
1102_1102.xml,hin,"v1,v2"
1103_1103.xml,eng,"v1,v2"
1103_1103.xml,tel,"v1,v2"
1103_1103.xml,hin,"v1,v2"
1104_1104.xml,eng,"v1,v2"
1104_1104.xml,tel,"v1,v2"
1104_1104.xml,hin,"v1,v2"
1105_1105.xml,eng,"v1,v2"
1105_1105.xml,tel,"v1,v2"
1105_1105.xml,hin,"v1,v2"
1106_1106.xml,eng,"v1,v2"
1106_1106.xml,tel,"v1,v2"
1106_1106.xml,hin,"v1,v2"
1107_1107.xml,eng,"v1,v2"
1107_1107.xml,tel,"v1,v2"
1107_1107.xml,hin,"v1,v2"
1108_1108.xml,eng,"v1,v2"
1108_1108.xml,tel,"v1,v2"
1108_1108.xml,hin,"v1,v2"
1109_1109.xml,eng,"v1,v2"
1109_1109.xml,tel,"v1,v2"
1109_1109.xml,hin,"v1,v2"
110_Yesunaadha thriloka naadha.xml,eng,"c1,v7"
110_Yesunaadha thriloka naadha.xml,tel,"c1,v7"
110_Yesunaadha thriloka naadha.xml,tam,c1
110_Yesunaadha thriloka naadha.xml,hin,v7
1110_1110.xml,eng,"v1,v2"
1110_1110.xml,tel,"v1,v2"
1110_1110.xml,hin,"v1,v2"
1111_1111.xml,eng,"v1,v2"
1111_1111.xml,tel,"v1,v2"
1111_1111.xml,hin,"v1,v2"
1112_1112.xml,eng,"v1,v2"
1112_1112.xml,tel,"v1,v2"
1112_1112.xml,hin,"v1,v2"
1113_1113.xml,eng,"v1,v2"
1113_1113.xml,tel,"v1,v2"
1113_1113.xml,hin,"v1,v2"
111_Sarvashakhtudu naaku.xml,eng,v8
111_Sarvashakhtudu naaku.xml,tel,v8
112_Prabho needu mahimanu paadi.xml,eng,"v5,v6,v7,v8"
112_Prabho needu mahimanu paadi.xml,tel,"v5,v6,v7,v8"
112_Prabho needu mahimanu paadi.xml,tam,v8
113_Oh yesu nee prema entho.xml,eng,v6
113_Oh yesu nee prema entho.xml,tel,v6
114_O premagala yesu.xml,eng,v8
114_O premagala yesu.xml,tel,v8
114_O premagala yesu.xml,tam,"v7,v8"
115_Halleluya paadudi.xml,eng,v7
115_Halleluya paadudi.xml,tel,v7
116_Nene unnavaada nanina.xml,eng,v8
116_Nene unnavaada nanina.xml,tel,v8
116_Nene unnavaada nanina.xml,tam,"c1,v1,v2,v3,v4,v5,v6,v7,v8"
117_Vandanamo vandana mesayyaa.xml,eng,v8
117_Vandanamo vandana mesayyaa.xml,tel,v8
117_Vandanamo vandana mesayyaa.xml,tam,v8
118_Arpinthu stutul nee.xml,eng,v5
118_Arpinthu stutul nee.xml,tel,v5
119_Santoshame santoshame.xml,eng,v9
119_Santoshame santoshame.xml,tel,v9
11_Yesu prabhoo kapari naaku.xml,eng,v4
11_Yesu prabhoo kapari naaku.xml,tel,v4
120_Raatrimbavallu paadedanu.xml,eng,v9
120_Raatrimbavallu paadedanu.xml,tel,v9
120_Raatrimbavallu paadedanu.xml,tam,"c1,v1,v2,v3,v4,v5,v6,v7,v8,v9"
121_Shanthi daayaka Yesu prabhoo.xml,tam,"c1,v1,v2,v3,v4,v5,v6,v7,v8"
121_Shanthi daayaka Yesu prabhoo.xml,hin,"c1,v1,v2,v3,v4,v5,v6,v7,v8"
122_Hrudaya marpinchedamu.xml,eng,v5
122_Hrudaya marpinchedamu.xml,tel,v5
123_Aananda maananada maanandame.xml,eng,v8
123_Aananda maananada maanandame.xml,tel,v8
124_Jai prabhu yesu.xml,eng,v8
124_Jai prabhu yesu.xml,tel,v8
125_Prabhuva nee goppa thanamu.xml,eng,v7
125_Prabhuva nee goppa thanamu.xml,tel,v7
126_Vandanimmu Nimmu Prabhu.xml,eng,v5
126_Vandanimmu Nimmu Prabhu.xml,tel,v5
127_Oh naa hrudayamaa paadumaa.xml,eng,v6
127_Oh naa hrudayamaa paadumaa.xml,tel,v6
128_Devaa nee thalampulu amoolya.xml,eng,v7
128_Devaa nee thalampulu amoolya.xml,tel,v7
129_Stutulaku paatrundavu.xml,eng,v8
129_Stutulaku paatrundavu.xml,tel,v8
12_Bhoomiyu daani sampoornatha lokamu.xml,eng,"v10,v8,v9"
12_Bhoomiyu daani sampoornatha lokamu.xml,tel,"v10,v8,v9"
12_Bhoomiyu daani sampoornatha lokamu.xml,hin,v10
130_Yesu kristu prabhuvaayane.xml,eng,v6
130_Yesu kristu prabhuvaayane.xml,tel,v6
130_Yesu kristu prabhuvaayane.xml,hin,"c1,v1,v2,v3,v4,v5,v6"
131_Halleluya stuti prashamsa.xml,eng,v8
131_Halleluya stuti prashamsa.xml,tel,v8
131_Halleluya stuti prashamsa.xml,tam,"c1,v1,v2,v3,v4,v5,v6,v7,v8"
132_Stotra geetamulanu paaduchu.xml,tam,"c1,v1,v2,v3,v4,v5,v6,v7"
132_Stotra geetamulanu paaduchu.xml,hin,"c1,v1,v2,v3,v4,v5,v6,v7"
133_Sarva krupaa nidhi yagu.xml,eng,v7
133_Sarva krupaa nidhi yagu.xml,tel,v7
134_Mahaa ghanudu mahonnathudu.xml,eng,v6
134_Mahaa ghanudu mahonnathudu.xml,tel,v6
135_Halleluyaa stuti Halleluyaa.xml,eng,v6
135_Halleluyaa stuti Halleluyaa.xml,tel,v6
136_Koniyaadi - paadi keertinchi.xml,eng,v5
136_Koniyaadi - paadi keertinchi.xml,tel,v5
137_Devaa naa yandu neeku.xml,eng,v6
137_Devaa naa yandu neeku.xml,tel,v6
138_Adyantha rahitha prabhuvaa.xml,tam,"c1,v1,v2,v3,v4,v5,v6"
138_Adyantha rahitha prabhuvaa.xml,hin,"c1,v1,v2,v3,v4,v5,v6"
139_Nrupaa vimochaka prabhu.xml,hin,v7
13_Devaa nee mukhamunu naaku.xml,eng,"c2,v7"
13_Devaa nee mukhamunu naaku.xml,tel,"c2,v7"
13_Devaa nee mukhamunu naaku.xml,hin,c2
140_Sri rakshakuni namamu.xml,eng,"v6,v7"
140_Sri rakshakuni namamu.xml,tel,"v6,v7"
141_Rakshakuni vichitra preman.xml,eng,v5
141_Rakshakuni vichitra preman.xml,tel,v5
142_Yesuni naama shabdamu.xml,tam,"v1,v2,v3,v4,v5,v6"
142_Yesuni naama shabdamu.xml,hin,"v1,v2,v3,v4,v5,v6"
143_Kontini goppa mutyamu.xml,tam,"v1,v2,v3,v4,v5,v6,v7"
143_Kontini goppa mutyamu.xml,hin,"v1,v2,v3,v4,v5,v6,v7"
144_Bhaktulara dhukka krantudu.xml,tam,"v1,v2,v3,v4"
144_Bhaktulara dhukka krantudu.xml,hin,"v1,v2,v3,v4"
145_Rajadi rajupai kireetamunchudi.xml,tam,"v1,v2,v3,v4"
145_Rajadi rajupai kireetamunchudi.xml,hin,"v1,v2,v3,v4"
146_Sarwamupai yesu rajyamelun.xml,tam,"c1,v1,v2,v3,v4"
146_Sarwamupai yesu rajyamelun.xml,hin,"c1,v1,v2,v3,v4"
147_Yesuprabhoo gaddepainunna.xml,tam,"c1,v1,v2,v3,v4"
147_Yesuprabhoo gaddepainunna.xml,hin,"c1,v1,v2,v3,v4"
148_Atyantha sundarundunu.xml,tam,"c1,v1,v2,v3,v4,v5,v6"
148_Atyantha sundarundunu.xml,hin,"c1,v1,v2,v3,v4,v5,v6"
149_Aa mundla kireetam boyenu.xml,tam,"v1,v2,v3,v4"
149_Aa mundla kireetam boyenu.xml,hin,"v1,v2,v3,v4"
14_Udaya saayanthramula nella velala prabhuvaa.xml,eng,"c2,v8"
14_Udaya saayanthramula nella velala prabhuvaa.xml,tel,"c2,v8"
14_Udaya saayanthramula nella velala prabhuvaa.xml,hin,c2
150_Namaskarimpa randi.xml,tam,"v1,v2,v3,v4"
150_Namaskarimpa randi.xml,hin,"v1,v2,v3,v4"
"151_Shudhi, Shudhi, Shudhi.xml",tam,"v1,v2,v3,v4"
"151_Shudhi, Shudhi, Shudhi.xml",hin,"v1,v2,v3,v4"
152_Nee jaldaru vrukshapu.xml,eng,v6
152_Nee jaldaru vrukshapu.xml,tel,v6
153_Yesu nangeekarinchiti daiva.xml,eng,v6
153_Yesu nangeekarinchiti daiva.xml,tel,v6
154_Devaa naa prabhuvaa ninu goorchi.xml,eng,v5
154_Devaa naa prabhuvaa ninu goorchi.xml,tel,v5
155_Prabhu yesu naakai nee.xml,eng,v8
155_Prabhu yesu naakai nee.xml,tel,v8
156_Paavanudaa maa prabhuvaa.xml,eng,v7
156_Paavanudaa maa prabhuvaa.xml,tel,v7
157_Yesu nan preminchitivi.xml,eng,v6
157_Yesu nan preminchitivi.xml,tel,v6
158_Prabhuvaa needu ghana.xml,eng,v4
158_Prabhuvaa needu ghana.xml,tel,v4
158_Prabhuvaa needu ghana.xml,tam,"c1,v1,v2,v3,v4"
159_Prema nammakamugala.xml,eng,v6
159_Prema nammakamugala.xml,tel,v6
15_Yehovaa naa devaa nityamu.xml,eng,v9
15_Yehovaa naa devaa nityamu.xml,tel,v9
15_Yehovaa naa devaa nityamu.xml,tam,v9
160_O prabhuvaa idi nee.xml,eng,v8
160_O prabhuvaa idi nee.xml,tel,v8
161_Prema gala maa.xml,eng,v6
161_Prema gala maa.xml,tel,v6
162_Aaraadhincheda ninu madi.xml,eng,"c2,v8"
162_Aaraadhincheda ninu madi.xml,tel,"c2,v8"
162_Aaraadhincheda ninu madi.xml,hin,c2
163_Ruchi choochi erigitini.xml,eng,"c2,v8"
163_Ruchi choochi erigitini.xml,tel,"c2,v8"
163_Ruchi choochi erigitini.xml,hin,c2
164_Needu viswasyatha maa.xml,eng,v7
164_Needu viswasyatha maa.xml,tel,v7
165_Sannuthinchedanu ellappudu.xml,eng,v5
165_Sannuthinchedanu ellappudu.xml,tel,v5
166_Devunike mahima yuga.xml,eng,v6
166_Devunike mahima yuga.xml,tel,v6
167_Aashcharya karuda vive.xml,eng,v7
167_Aashcharya karuda vive.xml,tel,v7
168_Naa praanamaa naa sarvamaa.xml,eng,v6
168_Naa praanamaa naa sarvamaa.xml,tel,v6
169_Gaayamulan gaayamulan.xml,eng,v6
169_Gaayamulan gaayamulan.xml,tel,v6
16_Yavvani athikramamulu mannimpabaduno.xml,eng,v10
16_Yavvani athikramamulu mannimpabaduno.xml,tel,v10
16_Yavvani athikramamulu mannimpabaduno.xml,tam,v10
170_Doota ganamulella aaraadhinchiri.xml,eng,v6
170_Doota ganamulella aaraadhinchiri.xml,tel,v6
170_Doota ganamulella aaraadhinchiri.xml,hin,c2
171_Maa prabhu yesu neeve.xml,eng,v6
171_Maa prabhu yesu neeve.xml,tel,v6
172_Pranutinthumu maa Yehovaa.xml,eng,v6
172_Pranutinthumu maa Yehovaa.xml,tel,v6
172_Pranutinthumu maa Yehovaa.xml,hin,v6
173_Asamanundagu oh kristu.xml,eng,v7
173_Asamanundagu oh kristu.xml,tel,v7
174_Ghanatha mahima prabhuke.xml,eng,v6
174_Ghanatha mahima prabhuke.xml,tel,v6
174_Ghanatha mahima prabhuke.xml,tam,"c1,v1,v2,v3,v4,v5,v6"
175_Stutiyu mahima ghanatha.xml,eng,v6
175_Stutiyu mahima ghanatha.xml,tel,v6
176_Naa prabhu preminchenu.xml,eng,v6
176_Naa prabhu preminchenu.xml,tel,v6
176_Naa prabhu preminchenu.xml,tam,"c1,v1,v2,v3,v4,v5,v6"
177_Oh prabhu neeve dhanyudavu.xml,eng,v6
177_Oh prabhu neeve dhanyudavu.xml,tel,v6
177_Oh prabhu neeve dhanyudavu.xml,tam,"c1,v1,v2,v3,v4,v5,v6"
178_Ponditini nenu prabhuvaa.xml,eng,v6
178_Ponditini nenu prabhuvaa.xml,tel,v6
178_Ponditini nenu prabhuvaa.xml,tam,"c1,v1,v2,v3,v4,v5,v6"
179_Andaramu prabhu ninnu.xml,eng,v6
179_Andaramu prabhu ninnu.xml,tel,v6
179_Andaramu prabhu ninnu.xml,tam,"c1,v1,v2,v3,v4,v5,v6"
17_Sannuthinthu neppudehovaanu.xml,eng,v8
17_Sannuthinthu neppudehovaanu.xml,tel,v8
180_Poojaneeyudesu prabhu.xml,eng,v7
180_Poojaneeyudesu prabhu.xml,tel,v7
180_Poojaneeyudesu prabhu.xml,tam,"c1,v1,v2,v3,v4,v5,v6,v7"
181_Ne paadeda nityamu.xml,eng,v5
