FileName,VerseName,MissingLanguages
366_Daagunedi mapunu - vega Yesu.xml,v5,"eng,tel,tam"
366_Daagunedi mapunu - vega Yesu.xml,v6,"eng,tel,tam"
366_Daagunedi mapunu - vega Yesu.xml,o1,"eng,tel,tam,hin"
367_Mana prabhuvaina Yesu nandu.xml,o1,"eng,tel,tam,hin"
368_Nee jeevitamu kshanabhangurame.xml,o1,"eng,tel,tam,hin"
369_Entho goppa nityamaina.xml,o1,"eng,tel,tam,hin"
36_Mana balamaina yaakobu devuniki.xml,v8,"eng,tel,hin"
36_Mana balamaina yaakobu devuniki.xml,v9,"eng,tel,hin"
36_Mana balamaina yaakobu devuniki.xml,o1,"eng,tel,tam,hin"
370_Yesu lenicho papikaashrayame ledu.xml,o1,"eng,tel,tam,hin"
371_Maaru manassu pondumu.xml,o1,"eng,tel,tam,hin"
"372_Vyardham vyardham, sarvamu.xml",o1,"eng,tel,tam,hin"
373_Kristu prabhuke sakala mahima.xml,o1,"eng,tel,tam,hin"
37_Sainyamula Yehovaa.xml,v10,tam
37_Sainyamula Yehovaa.xml,o1,"eng,tel,tam,hin"
384_Mayaloka mayalo nela.xml,o1,"eng,tel,tam,hin"
385_Vinathi vinathi vinathi triyekuniki.xml,v5,tam
385_Vinathi vinathi vinathi triyekuniki.xml,v6,"tam,hin"
385_Vinathi vinathi vinathi triyekuniki.xml,v7,"tam,hin"
385_Vinathi vinathi vinathi triyekuniki.xml,o1,"eng,tel,tam,hin"
388_Prematho yesu - piluchuchunnaadu.xml,o1,"eng,tel,tam,hin"
38_Prabhu selavitchu daani naala kintunu.xml,v6,hin
38_Prabhu selavitchu daani naala kintunu.xml,v7,hin
38_Prabhu selavitchu daani naala kintunu.xml,o1,"eng,tel,tam,hin"
390_O Paapi jeevapu yootaku raa.xml,v5,hin
390_O Paapi jeevapu yootaku raa.xml,v6,hin
390_O Paapi jeevapu yootaku raa.xml,v7,"tam,hin"
390_O Paapi jeevapu yootaku raa.xml,o1,"eng,tel,tam,hin"
391_Gadiya nenu thattu chunnaanu.xml,o1,"eng,tel,tam,hin"
393_Sodarudaa paapa kshamakai.xml,o1,"eng,tel,tam,hin"
394_Yesu prabhuve neeku rakshana.xml,o1,"eng,tel,tam,hin"
397_Prabhu thattu kannuleththu.xml,o1,"eng,tel,tam,hin"
398_Choodumu neevu melconumu.xml,o1,"eng,tel,tam,hin"
399_Yesuni sweekarinchu.xml,o1,"eng,tel,tam,hin"
39_Prabhuvaa thara tharamula nundi.xml,o1,"eng,tel,tam,hin"
3_Yehovaa maa prabhuvaa bhoomi.xml,v6,"eng,tel,hin"
3_Yehovaa maa prabhuvaa bhoomi.xml,v7,"eng,tel,hin"
3_Yehovaa maa prabhuvaa bhoomi.xml,v8,"eng,tel,hin"
3_Yehovaa maa prabhuvaa bhoomi.xml,v9,"eng,tel,hin"
3_Yehovaa maa prabhuvaa bhoomi.xml,o1,"eng,tel,tam,hin"
400_Jeevitha mevvariki nee jeevitha mevvariki.xml,o1,"eng,tel,tam,hin"
401_Yesu ninnu pilichenu.xml,o1,"eng,tel,tam,hin"
402_Choodumu eekshaname calvarini.xml,o1,"eng,tel,tam,hin"
403_Entha paapinainanu - Yesu cherchukonunu.xml,o1,"eng,tel,tam,hin"
404_Yesu naadhuni gaayamulanu.xml,o1,"eng,tel,tam,hin"
407_Yerushalemu gummamulaara rajunu.xml,o1,"eng,tel,tam,hin"
408_Theruvu nee hrudaya dwarambu nede.xml,o1,"eng,tel,tam,hin"
409_Krupakaalamulo prabhuyesune.xml,o1,"eng,tel,tam,hin"
40_Devaa thara tharamulaku.xml,o1,"eng,tel,tam,hin"
410_Kristu chentaku rammu.xml,o1,"eng,tel,tam,hin"
411_Teruvabadi yunnadi krupadwaramu.xml,o1,"eng,tel,tam,hin"
412_Naa maata vinumani.xml,o1,"eng,tel,tam,hin"
41_Mahonnathuni chaatuna vasinchu vaade.xml,v8,hin
